概率,特征词,概率,特征词,概率,特征词,概率,特征词,概率,特征词
0.060,手机,0.184,华为,0.047,收到,0.029,手机,0.017,屏幕
0.051,拍照,0.069,支持,0.037,物流,0.028,送,0.017,苹果
0.044,不错,0.058,手机,0.034,手机,0.010,无线,0.016,拍
0.038,喜欢,0.016,p30pro,0.026,发货,0.010,客服,0.015,拍照
0.030,手感,0.015,国货,0.023,很快,0.009,充电,0.014,感觉
0.023,流畅,0.014,不错,0.021,速度,0.009,壳,0.012,p30pro
0.020,漂亮,0.014,喜欢,0.020,快递,0.008,朋友,0.010,天空
0.019,功能,0.013,国产,0.019,下单,0.008,降价,0.009,之镜
0.018,好看,0.013,加油,0.017,终于,0.007,耳机,0.009,功能
0.016,超级,0.012,希望,0.012,到手,0.007,贴膜,0.007,真的
0.015,外观,0.010,越来越,0.012,第二天,0.007,价格,0.007,屏
0.015,特别,0.009,一如既往,0.011,到货,0.007,月,0.006,颜色
0.014,颜色,0.008,产品,0.011,不错,0.006,想,0.006,月亮
0.014,真的,0.008,第一次,0.010,晚上,0.006,膜,0.006,手机
0.012,满意,0.006,p30,0.010,拿到,0.006,屏幕,0.006,终于
0.011,运行,0.006,荣耀,0.010,满意,0.006,不到,0.005,效果
0.011,速度,0.006,中国,0.009,抢,0.005,帮,0.005,相机
0.011,强大,0.006,老婆,0.009,包装,0.005,一个月,0.005,确实
0.011,效果,0.006,值得,0.009,货,0.005,几天,0.005,系统
0.011,颜值,0.005,真的,0.009,昨天,0.005,感觉,0.005,中
0.010,棒,0.005,好用,0.008,顺丰,0.005,东西,0.005,照片
0.010,清晰,0.005,换,0.006,下午,0.005,充电器,0.005,换
0.010,很漂亮,0.005,质量,0.006,时间,0.004,500,0.004,曲面
0.009,照相,0.005,p20pro,0.006,超快,0.004,赠品,0.004,变焦
0.009,老婆,0.004,字,0.006,早上,0.004,发现,0.004,习惯
0.009,感觉,0.004,全家,0.006,力,0.004,差评,0.004,不用
0.008,高,0.004,用户,0.006,手,0.004,只能,0.004,太
0.008,很快,0.004,中华,0.005,点,0.004,太漂亮,0.004,体验
0.008,充电,0.004,强大,0.005,好好,0.004,实体店,0.004,摄像头
0.007,好用,0.004,爱,0.005,打开,0.004,刚买,0.004,希望
